query,super_category
Comment trouver les adresses et les horaires des bureaux d'aide juridique?,Droit pénal
Je reçois les confidences en tant que professionnel.,Droit du travail
Est-ce que mon conjoint peut me forcer à introduire un règlement collectif de la dette?,Droit financier
J'ai été condamné à une peine de prison. Que se passe-t-il une fois que la surveillance électronique a été octroyée ?,Droit pénal
"J'ai une procédure à l'étranger, que faire ?",Droit pénal
Je suis victime de violences conjugales. Comment déceler la violence conjugale ?,Droit de la famille
Les mesures urgentes et temporaires prises par le juge de la famille sont-elles limitées dans le temps pour les cohabitants légaux?,Droit de la famille
L'administrateur du bien ou la personne peut-elle faire quelque chose?,Droit de la famille
"Si je ne paie pas la contribution alimentaire pour mes enfants, que se passera-t-il ?",Droit financier
Un mineur a signé un contrat de bail. Quelle est la valeur de ce contrat en Wallonie ?,Droit immobilier
Un colocataire seul peut-il mettre fin au bail non officiel de colocation avant l'échéance en Wallonie ?,Droit immobilier
"Si j'ai un conflit avec quelqu'un, quel revenu est considéré pour l'aide juridique?",Droit pénal
J'ai été condamné à une peine de prison. A quelles conditions puis-je obtenir la surveillance électronique ?,Droit pénal
Quel est l'état des lieux dans la capitale belge ?,Droit immobilier
Je suis convoqué en justice. Qu'est-ce qu'une remise ?,Droit pénal
Les colocataires tous ensemble peuvent-ils mettre fin au bail non officiel de colocation avant l'échéance à Bruxelles ?,Droit immobilier
Puis-je introduire un nouveau règlement collectif de dettes lorsque j'ai été révoqué ?,Droit financier
Comment mettre fin au bail de commun accord à Bruxelles ?,Droit immobilier
Dois-je dire à l'intervieweur que je suis enceinte ?,Droit de la protection sociale
Quelles sont les réparations à charge du propriétaire à Bruxelles ?,Droit immobilier
Quels sont les critères d'insalubrité?,Droit immobilier
Quel est le coût d'un divorce en général ?,Droit pénal
Comment récupérer la garantie locative à Bruxelles ?,Droit immobilier
Puis-je déshériter mes enfants ?,Droit financier
Mon conjoint peut-il me forcer à travailler pour couvrir les dépenses du ménage?,Droit de la famille
J'ai signé une déclaration de cohabitation légale.,Droit de la famille
Mes biens peuvent-ils être enlevés ?,Droit financier
Que se passe-t-il si je ne paie pas l'amende ?,Droit pénal
J'étais divorcée à cause d'une désunion irrémédiable.,Droit de la famille
J'ai signé une déclaration de cohabitation légale. Dois-je vivre sous le même toit que mon cohabitant légal ?,Droit de la famille
Quelle procédure le CPAS doit-il suivre pour demander à mes débiteurs d'aliments de rembourser les SIF?,Droit de la protection sociale
J'ai été condamné à une peine de prison.,Droit pénal
Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Puis-je être considéré comme le père de mon enfant décédé à la naissance ?,Droit de la famille
